"unique_ids","zip_codes","dates"
"92054DT","37920","03/03/2021"
"92055DT","37920","03/03/2021"
"92056DT","37920","03/03/2021"
"92057DT","37920","03/04/2021"
"92058DT","37920","03/04/2021"
"92059DT","37920","03/04/2021"
"92060DT","37920","03/04/2021"
"92061DT","37917","03/04/2021"
"92062DT","37917","03/04/2021"
"92063DT","37921","03/04/2021"
"92064DT","37917","03/05/2021"
"92065DT","37917","03/05/2021"
"92066DT","37917","03/05/2021"
"92067DT","37917","03/05/2021"
"92068DT","37917","03/05/2021"
"92069DT","37917","03/05/2021"
"92070DT","37912","03/05/2021"
"92071DT","37909","03/05/2021"
"92072DT","37918","03/05/2021"
"92073DT","37919","03/05/2021"
"92074DT","37919","03/05/2021"
"92075DT","37920","03/05/2021"
"92076DT","37920","03/05/2021"
"92077DT","37920","03/08/2021"
"92078DT","37849","03/08/2021"
"92079DT","37806","03/08/2021"
"92080DT","37912","03/08/2021"
"92081DT","37921","03/08/2021"
"92082DT","37917","03/08/2021"
"92083DT","37918","03/08/2021"
"92084DT","37918","03/08/2021"
"92085DT","37918","03/08/2021"
"92086DT","37917","03/08/2021"
"92087DT","37918","03/08/2021"
"92088DT","37917","03/08/2021"
"92089DT","37918","03/08/2021"
"92090DT","37918","03/08/2021"
"92091DT","37918","03/08/2021"
"92092DT","37918","03/08/2021"
"92093DT","37840","03/08/2021"
"92094DT","37918","03/08/2021"
"92095DT","37918","03/08/2021"
"92096DT","37923","03/08/2021"
"92097DT","37922","03/08/2021"
"92098DT","37917","03/08/2021"
"92099DT","37923","03/08/2021"
"92100DT","37923","03/08/2021"
"92101DT","37920","03/08/2021"
"92102DT",NA,"03/08/2021"
"92103DT","37830","03/08/2021"
"92104DT","37871","03/09/2021"
"92105DT","37918","03/09/2021"
"92106DT","37919","03/09/2021"
"92107DT","37921","03/09/2021"
"92108DT","37914","03/09/2021"
"92109DT","37918","03/09/2021"
"92110DT","37918","03/10/2021"
"92111DT","37923","03/09/2021"
"92112DT","37921","03/09/2021"
"92113DT","37924","03/09/2021"
"92114DT","37931","03/10/2021"
"92115DT","37918","03/10/2021"
"92116DT","37918","03/10/2021"
"92117DT","37918","03/10/2021"
"92118DT","37931","03/11/2021"
"92119DT","37931","03/11/2021"
"92120DT","37939","03/11/2021"
"92121DT","37919","03/11/2021"
"92122DT","37930","03/11/2021"
"92123DT","37923","03/12/2021"
"92124DT","37920","03/12/2021"
"92125DT","37918","03/12/2021"
"92126DT","37917","03/12/2021"
"92127DT","37921","03/12/2021"
"92128DT","37920","03/12/2021"
"92129DT","37920","03/12/2021"
"92130DT","37922","03/12/2021"
"92131DT","37918","03/12/2021"
"92132DT","37915","03/15/2021"
"92133DT","37871","03/15/2021"
"92134DT","37918","03/15/2021"
"92135DT","37721","03/17/2021"
"92136DT","37920",NA
"92139DT","37923","03/17/2021"
"92140DT","37923","03/17/2021"
"92141DT","37931","02/01/2021"
"91768DT","37918","01/04/2021"
"91769DT","37876","01/04/2021"
"91770DT","37918","01/04/2021"
"91771DT","37921","01/04/2021"
"91772DT","37934","01/04/2021"
"91773DT",NA,"01/04/2021"
"91774DT","37922","01/05/2021"
"91775DT","37919","01/05/2021"
"91776DT","37932","01/05/2021"
"91777DT","37909","01/05/2021"
"91778DT","37919","01/01/2021"
"91779DT","37921","01/06/2021"
"91780DT","37923",NA
"91781DT","37938","01/06/2021"
"91782DT","37914","01/06/2021"
"91783DT","37914","01/06/2021"
"91784DT","37917","01/06/2021"
"91785DT","37917","01/07/2021"
"91786DT","37920","01/07/2021"
"91787DT","37918","01/07/2021"
"91788DT","37912","01/07/2021"
"91789DT","37917","01/07/2021"
"91790DT","37914","01/07/2021"
"91792DT","37930",NA
"91795DT","37919","01/08/2021"
"91796DT","37918","01/08/2021"
"91797DT","37912","01/08/2021"
"91798DT","37912","01/08/2021"
"91799DT","37912","01/08/2021"
"91800DT","37909","01/08/2021"
"91801DT","37923","01/08/2021"
"91802DT","37918","01/08/2021"
"91803DT","37919","01/11/2021"
"91804DT","37931","01/11/2021"
"91805DT","37931","01/11/2021"
"91806DT","37921",NA
"91814DT","37921","01/11/2021"
"91815DT","37363","01/01/2021"
"91816DT","37917","01/11/2021"
"91817DT","37914","01/11/2021"
"91818DT","37921","01/11/2021"
"91819DT","37917","01/11/2021"
"91820DT","37917","01/11/2021"
"91821DT","37931","01/11/2021"
"91822DT","37909","01/11/2021"
"91823DT","37931","01/11/2021"
"91824DT","37909","01/11/2021"
"91825DT","37205","01/11/2021"
"91826DT","37914","01/01/2021"
"91827DT","37920","01/13/2021"
"91833DT","37915","01/13/2021"
"91834DT","37909","01/13/2021"
"91835DT","37363","01/13/2021"
"91836DT","37919","01/14/2021"
"91837DT","37849","01/14/2021"
"91838DT","37909","01/14/2021"
"91839DT","37916","01/14/2021"
"91840DT","37912","01/14/2021"
"91841DT","37909","01/14/2021"
"91842DT","37909","01/14/2021"
"91843DT","37919","01/15/2021"
